Acaba, Joseph;1;M-US;STS-119;;;;
Acaba, Joseph;2;M-US;STS-119;;;;
Acton, Loren;1;M-US;STS-51F;;;;
Adamson, James;2;M-US;STS-28;Soyuz TMA-04M/30S;;;
Afanasyev, Viktor;4;M-USSR;Soyuz TM-11;;;;
Akers, Thomas;4;M-US;STS-41;Soyuz TM-18;;;
Akiyama, Toyohiro;1;M-Japan;Soyuz TM-11;;;;
Aksenov, Vladimir;2;M-USSR;Soyuz 22;STS-49;;;
Aldrin, Edwin;2;M-US;Gemini 12;;STS-61;STS-79;
Alexandrov, Alexander;1;M-Bulgaria;Soyuz TM-5;Soyuz T2;;;
Alexandrov, Alexander;2;M-USSR;Soyuz T9;Apollo 11;;;
Allen, Andrew;3;M-US;STS-46;;;;
Allen, Joseph;2;M-US;STS-5;Soyuz TM-3;;;
AlSaud, Sultan;1;M-S.Arabia;STS-62;;;;
Altman, Scott;4;M-US;STS-90;STS-51A;STS-75;;
Anders, William;1;M-US;Apollo 8;STS-51G;;;
Anderson, Clay;2;M-US;STS-117/ISS/120;STS-106;;;
Anderson, Michael;2;M-US;STS-89;;STS-109;STS-125;
Ansari, Anousheh;1;F-US;Soyuz TMA-09/taxi;STS-131;;;
Antonelli, Anthony;2;M-US;STS-119;STS-107;;;
Apt, Jay;4;M-US;STS-37;;;;
Archambault, Lee;2;M-US;STS-117;STS-132;;;
Armstrong, Neil;2;M-US;Gemini 8;STS-47;;;
Arnold, Richard;1;M-US;STS-119;STS-119;STS-59;STS-79;
Artsebarsky, Anatoly;1;M-USSR;Soyuz TM-12;Apollo 11;;;
Artyukhin, Yuri;1;M-USSR;Soyuz 14;;;;
Ashby, Jeff;3;M-US;STS-93;;;;
Atkov, Oleg;1;M-USSR;Soyuz T10;;;;
Aubakirov, Toktar;1;M-USSR;Soyuz TM-13;STS-100;;;
Avdeyev, Sergei;3;M-Russia;Soyuz TM-15;;STS-112;;
Bagian, James;2;M-US;STS-29;;;;
Baker, Ellen;3;F-US;STS-34;;;;
Baker, Michael;4;M-US;STS-43;STS-40;;;
Balandin, Alexander;1;M-USSR;Soyuz TM-9;STS-50;;;
Barratt, Michael;2;M-US;Soyuz TMA-14/18S;STS-52;STS-71;;
Barry, Daniel;3;M-US;STS-72;;STS-68;;
Bartoe, John-David;1;M-US;STS-51F;STS-133;;;
Baturin, Yuri;2;M-Russia;Soyuz TM-28;STS-96;;STS-81;
Baudry, Patrick;1;M-France;STS-51G;;STS-105;;
Bean, Alan;2;M-US;Apollo 12;Soyuz TM-32/2S;;;
Behnken, Robert;2;M-US;STS-123;;;;
Bella, Ivan;1;M-Slovakia;Soyuz TM-29;Skylab 3;;;
Belyayev, Pavel;1;M-USSR;Voskhod 2;STS-130;;;
Beregovoy, Georgi;1;M-USSR;Soyuz 3;;;;
Berezovoy, Anatoly;1;M-USSR;Soyuz T5-7;;;;
Binnie, Brian;1;M-US;SSO X2;;;;
Blaha, John;5;M-US;STS-29;;;;
Bloomfield, Michael;3;M-US;STS-86;STS-33;;;
Bluford, Guion;4;M-US;STS-8;;STS-43;;
Bobko, Karol;3;M-US;STS-6;STS-97;;;
Boe, Eric;2;M-US;STS-126;STS-61A;STS-110;;
Bolden, Charles;4;M-US;STS-61C;STS-51D;STS-39;;
Boming, Liu;1;M-China;Shenzhou 7;STS-133;STS-51J;;
Bondar, Roberta;1;F-Canada;STS-42;STS-31;;STS-53;
Borisenko, Andrey;1;M-Russia;Soyuz TMA-21/26S;;STS-45;;
Borman, Frank;2;M-US;Gemini 7;;;;
Bowen, Stephen;3;M-US;STS-126;;;STS-60;
Bowersox, Kenneth;5;M-US;STS-50;Apollo 8;;;
